PD,STIMU,Rate (Hz),ISI mean (ms),ISI std  (ms),mean mean diff,mean std diff,std mean diff ,std std diff,var diff mean,var std diff,mean mean FR,std mean Fr,seed
0,0,3.75,288.8733,48.7926,41.0407,9.7585,43.5778,10.5093,1899.0273,110.4463,0.375,0.2537,
0,0,3,272.635,37.015,50.563,7.403,50.2528,10.5512,2525.3417,111.328,0.3,0.2121,
0,0,4.25,243.8483,43.3572,41.6137,8.6714,41.3695,10.0289,1711.4348,100.5787,0.425,0.1392,
0,0,3.5,341.1683,36.9453,68.2337,7.3891,67.4439,7.1925,4548.6808,51.7325,0.35,0.1323,
0,0,3.75,328.8167,25.1677,49.5573,5.0335,57.6072,3.3557,3318.5919,11.2609,0.375,0.2727,
0,0,3,284.57,4.4614,56.914,0.8923,24.947,1.1924,622.3551,1.4218,0.3,0.1414,
0,0,4,268.2317,62.4462,47.2023,12.4892,34.5489,13.4559,1193.6269,181.0617,0.4,0.1,
0,0,3,276.52,11.41,55.304,2.282,70.4937,4.5515,4969.359,20.7162,0.3,0.2,
0,0,3.5,330.235,56.725,62.987,11.345,47.5707,17.2723,2262.9718,298.3313,0.35,0.3202,
0,0,2.75,209.25,6.12,41.85,1.224,22.0751,1.8485,487.3105,3.4169,0.275,0.1392,
