PD,STIMU,Rate (Hz),ISI mean (ms),ISI std  (ms),mean mean diff,mean std diff,std mean diff ,std std diff,var diff mean,var std diff,mean mean FR,std mean Fr
0,1,6.125,153.4785,47.7946,0.3284,0.6717,1.4915,1.7849,2.2246,3.1858,0.9125,0.0927
0,1,6,140.676,36.3395,-0.032,2.688,1.8753,2.1767,3.5167,4.7378,0.8875,0.1053
0,1,6.75,133.2945,35.3329,2.3823,2.4573,3.5887,4.353,12.8784,18.9485,0.9375,0.0696
0,1,7.25,137.7388,34.2962,0.9253,2.1566,1.9656,1.7737,3.8634,3.1462,0.9125,0.0927
0,1,5.25,150.494,39.4822,1.8073,1.491,2.0356,1.5356,4.1438,2.358,0.925,0.0829
0,1,6.875,132.4645,24.8023,1.7606,2.547,3.1315,4.1313,9.8066,17.0678,0.95,0.0866
0,1,6.75,148.956,47.4871,1.4103,1.3052,0.4329,1.2806,0.1874,1.64,0.9375,0.1111
0,1,5.75,155.5962,44.087,1.6676,0.9972,1.8555,2.9264,3.4429,8.5636,0.925,0.109
0,1,5.875,141.6015,37.0554,1.1359,0.6183,1.4851,1.0916,2.2057,1.1916,0.925,0.0829
0,1,6.375,143.3172,52.1942,1.1992,0.5843,0.4686,0.9639,0.2196,0.9291,0.8875,0.1269
0,1,6,133.7635,40.5878,0.9565,1.8872,1.2873,2.3287,1.6572,5.4227,0.9125,0.1269
0,1,5.75,155.7027,47.8736,1.9129,2.1642,1.1702,1.8862,1.3693,3.5577,0.925,0.109
0,1,5.75,135.7017,41.0494,1.7038,1.0518,0.9304,1.0595,0.8656,1.1226,0.9125,0.1053
0,1,7.25,132.4773,32.2061,2.1019,3.3421,3.3513,4.3058,11.2315,18.5398,0.8375,0.1409
0,1,7.375,143.283,44.8226,0.7391,1.1093,1.7404,1.4192,3.029,2.014,0.9125,0.1166
0,1,5,169.6658,54.6917,0.1047,0.6141,1.2885,1.4809,1.6603,2.193,0.925,0.0968
0,1,6.375,145.297,33.2419,1.188,2.0905,3.9229,2.955,15.3889,8.7322,0.9125,0.0927
0,1,6.75,159.0075,35.2301,2.0966,2.62,2.4372,2.7757,5.9399,7.7044,0.8625,0.1317
0,1,6.625,140.7595,37.1525,1.238,2.1455,1.7933,3.7744,3.2161,14.246,0.875,0.1299
0,1,6.25,132.1193,41.8654,-0.1576,1.7136,1.6392,2.0553,2.6869,4.2243,0.925,0.0829
0,1,6.25,157.0042,33.0393,0.946,0.8492,1.9061,1.8095,3.6334,3.2744,0.925,0.0968
0,1,7,134.9947,40.8198,0.6983,1.1821,2.4137,2.276,5.826,5.1801,0.875,0.1714
0,1,6.5,145.3077,44.6089,1.0997,0.6967,1.4015,1.5391,1.9641,2.3689,0.95,0.0707
0,1,6.875,156.9043,54.047,1.9088,1.646,2.0472,2.1867,4.191,4.7818,0.9625,0.0484
0,1,6.75,133.8362,35.019,2.2484,1.9589,2.6645,3.4225,7.0994,11.7135,0.925,0.0661
0,1,6.25,132.237,40.3803,3.8066,3.7076,2.9057,4.332,8.4433,18.7664,0.9,0.1118
0,1,6.25,133.1038,33.9957,1.9046,1.5875,0.6812,1.258,0.464,1.5825,0.9125,0.1166
0,1,6.5,175.2252,44.688,1.3206,2.2544,1.589,2.6642,2.5248,7.0978,0.9,0.0866
0,1,6.25,146.8738,42.4216,0.1608,-0.2092,1.482,1.04,2.1964,1.0815,0.9125,0.1364
0,1,6.5,140.032,40.5616,3.278,2.4548,3.7942,3.8946,14.3958,15.1683,0.9,0.0707
0,1,7.375,140.4127,46.8263,0.7959,0.0756,1.5221,0.7996,2.3169,0.6393,0.9125,0.1269
0,1,6.75,142.5795,40.3631,1.9863,2.1995,1.0037,2.1828,1.0075,4.7648,0.9125,0.0781
0,1,6.625,151.9337,41.3037,1.7462,0.6547,0.7222,1.1732,0.5216,1.3764,0.9125,0.0781
0,1,6.125,138.3215,33.3148,-0.4657,2.1975,1.8714,2.7436,3.5023,7.5276,0.875,0.1199
0,1,5.875,147.9705,41.5526,1.1329,1.1389,1.1903,1.2605,1.4169,1.5888,0.9625,0.0696
0,1,6,141.3558,37.0808,25.0277,11.9255,44.6761,18.2695,1995.9548,333.7742,0.6375,0.1932
0,1,6.5,145.1887,43.658,0.1226,1.0002,0.6677,1.6274,0.4459,2.6484,0.9,0.1225
0,1,6,150.9383,44.0543,5.6046,9.2356,24.5594,8.6596,603.1652,74.988,0.7875,0.1536
0,1,6.375,138.8622,41.9314,0.8363,1.8587,1.9619,2.207,3.8489,4.8708,0.95,0.1
0,1,6.375,151.993,40.1897,1.8059,1.5,2.3047,2.9977,5.3117,8.986,0.925,0.0829
0,1,6.75,152.851,43.9643,1.3662,0.8638,1.5044,1.2971,2.2631,1.6824,0.875,0.1479
0,1,6.5,162.952,48.8629,2.5452,1.8319,2.3337,3.5383,5.4462,12.5199,0.8625,0.0992
0,1,7.625,139.182,32.6221,1.8967,2.0516,1.835,1.962,3.3674,3.8496,0.9375,0.0857
0,1,6.75,141.6833,33.8504,2.3768,2.8656,2.2128,3.8382,4.8966,14.7316,0.9125,0.1452
0,1,6.75,130.3932,27.9651,3.2098,2.8767,3.0111,3.4638,9.0667,11.9979,0.925,0.0829
0,1,7,152.7678,46.5024,1.3497,1.6448,1.7219,1.7649,2.965,3.1149,0.9375,0.0857
0,1,5.875,158.4612,50.9522,0.5081,1.6546,2.2815,2.9734,5.2054,8.8409,0.925,0.0968
0,1,5.375,171.7625,47.7515,1.8174,1.7936,1.1666,2.0943,1.361,4.3862,0.8625,0.1218
0,1,6.375,157.7673,50.9526,2.5161,2.1546,1.4471,1.6014,2.0942,2.5644,0.925,0.1299
0,1,5.875,198.9467,64.1593,1.6284,0.9989,2.7467,2.0603,7.5444,4.245,0.9375,0.1409
0,1,5.75,188.5822,70.8549,2.6207,2.612,2.5171,3.5295,6.3359,12.4572,0.95,0.0707
0,1,6.375,144.7987,38.4964,-0.4582,2.6701,0.5737,3.4025,0.3291,11.5768,0.875,0.0661
0,1,6,136.607,26.6182,2.125,2.3685,3.9212,3.7924,15.3756,14.3824,0.8875,0.1166
0,1,6.625,142.7337,40.6209,0.4376,0.9682,0.8059,1.4516,0.6495,2.1071,0.9375,0.1576
0,1,5.625,168.4022,40.2097,2.3623,2.8829,1.76,2.9349,3.0975,8.6136,0.9125,0.0927
0,1,6.5,139.6287,39.1143,2.0593,1.2963,1.2049,1.5351,1.4518,2.3566,0.9125,0.0927
0,1,5.625,134.3972,35.9123,1.5969,1.8347,1.7396,2.2321,3.0261,4.9822,0.9125,0.1615
0,1,6.75,162.5332,59.8127,1.9078,2.4596,1.9706,3.012,3.8834,9.0719,0.9375,0.0992
0,1,6.75,134.6623,33.886,2.24,2.0068,2.9442,4.2089,8.6686,17.7148,0.9375,0.1111
0,1,6,133.3627,28.3267,3.3248,3.8752,1.653,2.468,2.7324,6.091,0.9125,0.1763
0,1,6.375,147.8465,27.9461,1.7192,2.0111,2.7209,3.6572,7.4034,13.375,0.9375,0.0696
0,1,6.25,158.819,52.7389,3.1147,2.9472,2.7345,3.7781,7.4775,14.2739,0.95,0.0707
0,1,6,136.1442,36.5531,1.6011,1.4821,2.0443,2.4023,4.1791,5.7709,0.9375,0.1654
0,1,6.75,161.5492,52.4631,-0.1056,0.7079,1.3159,2.1119,1.7316,4.4602,0.8625,0.1317
0,1,6.875,146.3863,45.5872,1.4427,1.5538,2.1561,2.1626,4.649,4.677,0.9125,0.1053
0,1,6.25,133.572,30.8839,1.8354,1.0033,1.3775,1.8779,1.8974,3.5267,0.9375,0.0992
0,1,7.625,139.6532,29.9318,1.876,1.2545,0.7712,0.9068,0.5948,0.8223,0.9375,0.0992
0,1,7.75,138.8953,40.4612,-1.9328,3.4791,1.9712,4.5621,3.8855,20.8126,0.875,0.1392
0,1,5.875,147.6367,41.4066,1.4577,2.0712,2.3897,2.597,5.7105,6.7442,0.9,0.1
0,1,4.875,132.4658,36.3103,2.1132,1.1681,0.8885,1.481,0.7895,2.1934,0.9,0.1225
0,1,6.25,154.8802,43.9011,3.235,3.1304,4.3264,5.284,18.718,27.9209,0.9375,0.1111
0,1,6.625,133.648,29.675,2.3045,2.2687,2.4963,3.8134,6.2317,14.5419,0.9125,0.1053
0,1,6.125,151.1218,39.3404,2.6574,2.2176,1.5976,1.5139,2.5525,2.2917,0.9375,0.0992
0,1,6.125,136.0657,39.332,1.2214,0.844,0.7061,0.9012,0.4986,0.8122,0.9625,0.0484
0,1,6,149.2803,42.8207,1.067,1.8166,1.2002,1.3757,1.4404,1.8926,0.8875,0.0781
0,1,5.875,140.8195,40.9749,1.4995,2.3544,2.1492,1.9371,4.6189,3.7525,0.9375,0.0857
0,1,4.875,163.6317,41.6509,2.3367,1.6173,2.0531,1.5116,4.2151,2.2849,0.9125,0.1536
0,1,7,149.2213,45.6912,2.8659,2.4443,1.6189,2.4443,2.6207,5.9748,0.8625,0.1218
0,1,6.25,163.0138,51.5767,2.8513,2.207,2.4425,2.5984,5.9658,6.7516,0.9,0.1118
0,1,6.5,143.1435,36.8944,1.1713,1.9389,1.1892,1.6106,1.4142,2.5942,0.9125,0.0599
0,1,5.375,149.3387,29.2479,1.4023,0.6485,2.5866,2.7184,6.6905,7.3897,0.9,0.1118
0,1,6.875,158.2675,46.7317,0.9598,0.9015,0.7617,1.3779,0.5802,1.8986,0.925,0.0661
0,1,5.75,141.1783,31.68,-0.3575,1.181,1.0543,1.2172,1.1114,1.4815,0.875,0.1392
0,1,5.625,147.16,43.8303,1.649,1.8098,1.8986,1.6587,3.6047,2.7512,0.975,0.1199
0,1,6.625,132.7218,40.0581,2.665,3.3879,0.7498,1.588,0.5622,2.5217,0.875,0.1714
0,1,6.625,142.3353,38.0351,-1.2227,1.4296,1.7879,1.9007,3.1967,3.6128,0.85,0.1658
0,1,7.125,145.8332,40.9095,1.2153,1.1014,0.7176,1.5809,0.515,2.4994,0.95,0.0707
0,1,6.625,138.2502,27.4168,2.3924,2.5118,2.3916,3.9404,5.7196,15.527,1,0.05
0,1,6.375,138.9627,32.7182,2.5893,2.3231,2.5713,3.2397,6.6116,10.4954,0.9375,0.0696
0,1,6.25,148.2792,41.6159,1.568,2.9926,2.844,3.7467,8.0886,14.038,0.9375,0.0696
0,1,7,154.2993,45.598,1.6031,1.6952,2.2472,3.3526,5.05,11.2398,0.9125,0.0927
0,1,6.625,132.6977,27.5349,1.4186,2.3905,1.4794,2.5898,2.1886,6.7068,0.9125,0.1269
0,1,6.25,143.1315,42.8806,1.5174,2.4826,4.8284,4.8956,23.3137,23.9672,0.9125,0.1166
0,1,6.375,152.0747,49.8465,2.5713,2.5498,2.9224,2.4396,8.5404,5.9517,0.9125,0.1053
0,1,6.75,135.9457,45.214,1.4528,1.7762,0.7371,2.6669,0.5433,7.1125,0.925,0.0829
0,1,7.125,148.8135,47.0037,0.9558,1.3273,2.4341,1.9215,5.9248,3.6922,0.9375,0.1495
0,1,7,135.9028,24.1424,0.4666,2.4811,1.7015,0.8329,2.8951,0.6937,0.9,0.1
0,1,7,134.341,36.894,3.0731,2.8929,0.928,2.1707,0.8612,4.7117,0.9125,0.1053
0,1,6.875,137.0558,42.3425,1.1842,1.0549,1.2747,2.0643,1.6249,4.2615,0.9625,0.0484
0,1,6,140.0542,33.7883,1.5844,1.7398,2.0522,1.9502,4.2115,3.8033,0.8875,0.1452
0,1,5.625,149.775,49.0084,-1.0686,1.9752,2.254,2.291,5.0804,5.2488,0.9125,0.1053
0,1,6,143.6297,44.6518,3.0545,3.0152,3.7448,4.6916,14.0232,22.011,0.975,0.0433
0,1,6.5,138.9525,31.6164,2.4001,2.3434,2.5061,2.494,6.2803,6.2198,0.9375,0.0992
0,1,5.75,182.9255,62.8568,1.7178,1.5381,1.1048,1.6252,1.2206,2.6413,0.925,0.1639
0,1,6.125,139.519,43.0019,1.7105,1.0325,1.4594,1.7087,2.1298,2.9198,0.95,0.0707
0,1,6.5,135.8343,35.8805,2.1793,1.2012,1.9332,2.0171,3.7374,4.0688,0.9125,0.0927
0,1,5.875,151.1873,59.5421,2.4832,1.9329,1.3293,1.0301,1.7669,1.0612,0.925,0.0661
0,1,6,167.4848,63.3582,1.2895,1.6575,1.3125,0.8463,1.7227,0.7162,0.9125,0.1053
0,1,5.5,127.0363,32.1164,1.7368,1.8744,2.4952,3.2771,6.2258,10.7396,0.9125,0.1053
0,1,7,146.01,38.2868,15.2221,13.6032,53.0905,15.3073,2818.605,234.3143,0.75,0.1581
0,1,5.625,152.4067,38.5258,3.9003,3.7809,3.9053,5.3077,15.2515,28.1716,0.9125,0.0927
0,1,6.875,149.9205,45.5801,2.1268,1.5877,2.517,1.8953,6.3351,3.5921,0.9125,0.1053
0,1,6.875,151.3477,43.579,2.1104,2.2423,1.0992,1.1206,1.2083,1.2557,0.9125,0.1269
0,1,6.125,145.2192,33.9319,3.4561,3.14,1.5995,2.2586,2.5584,5.1013,0.9,0.1225
0,1,6.125,147.8078,52.7881,2.3138,2.2178,2.423,2.5948,5.8711,6.7329,0.95,0.0707
0,1,6.625,145.8305,33.8249,1.9807,2.3988,2.1603,3.689,4.6671,13.6089,0.875,0.1639
0,1,7,144.2903,38.4462,0.2077,1.4016,1.4765,1.364,2.18,1.8605,0.9375,0.1218
0,1,6.875,142.6797,45.1582,2.9099,2.7336,0.7837,1.6568,0.6141,2.7451,0.9625,0.0696
