PD flag,PD proba,Stimulation proba (rounded),CTX rate (Hz),ISI mean (ms),ISI std (ms),,,
0,0,0,2.5,209.31,2.18,,,
0,0.044,0,3.625,274.77,26.2405,,,
0,0.004,1,6.125,144.7285,43.9615,,,
0,0.509,1,7.375,142.1183,39.6423,,,
0,0.002,0,2.625,198.015,12.675,,,
0,0.029,0,3.125,228.5117,13.5165,,,
0,0.171,1,6.5,160.3362,51.8023,,,
0,0.008,0,2.875,233.33,28.53,,,
0,0.189,1,6.75,125.4715,31.5272,,,
0,0.002,0,3.25,283.8667,35.7419,,,
0,0,1,5.625,139.4225,40.8478,,,
0,0.222,1,6.875,142.9948,33.7032,,,
0,0.019,1,6,154.0057,53.7736,,,
0,0,0,2.875,279.305,9.295,,,
0,0.002,1,5.5,159.1142,46.3035,,,
0,0.456,1,7,140.1138,30.0957,,,
0,0.106,0,3.125,187.92,15.8,,,
0,0,0,2.875,283.73,6.66,,,
0,0.064,1,6.5,142.1118,27.6847,,,
0,0.005,1,6.125,148.4508,33.4024,,,
0,0.002,0,3.875,320.9967,79.12,,,
0,0.023,1,6.5,139.564,36.6133,,,
0,0.001,1,6,139.3325,38.0887,,,
0,0.003,1,6.125,143.9107,37.0115,,,
0,0.058,1,6.75,163.0237,40.6304,,,
0,0.004,1,6.125,145.2043,35.2261,,,
0,0.002,0,3.25,273.9767,17.0338,,,
0,0.588,1,7.25,142.0403,35.06,,,
0,0.232,1,6.875,137.0125,32.5581,,,
0,0.136,1,6.75,146.901,51.4129,,,
0,0.001,1,5.875,144.7748,35.3188,,,
0,0.046,1,6.625,145.4337,36.7948,,,
0,0.014,0,2.75,188.47,15.65,,,
0,0.001,1,5.75,139.9097,41.5431,,,
0,0.251,1,7.25,153.3475,46.4927,,,
0,0.016,1,6.5,148.2195,41.5611,,,
0,0.076,1,6.625,152.135,45.2201,,,
0,0.017,0,3.625,309.835,56.8485,,,
0,0.002,1,5.75,148.8905,49.9516,,,
0,0.012,1,5.75,167.2952,44.9364,,,
0,0.306,1,7,156.9485,51.0067,,,
0,0.002,1,6,147.6575,37.5338,,,
0,0.038,1,6.625,145.6967,44.5388,,,
0,0.66,1,7.125,132.9915,30.3672,,,
0,0.289,1,7,156.6932,50.569,,,
0,0.217,1,7.125,146.6525,40.6847,,,
0,0.002,1,6.125,140.3292,39.3915,,,
0,0.004,1,6.25,143.5867,39.0745,,,
0,0.095,1,6.75,144.1487,36.0892,,,
0,0.051,0,3.75,299.2083,39.5709,,,
0,0.221,0,1.875,101.08,1.12,,,
0,0.095,1,6.75,153.1105,45.3357,,,
0,0.003,0,2.75,199.08,10.02,,,
0,0.005,0,3.25,301.7717,15.5824,,,
0,0.125,1,6.75,130.9475,32.3036,,,
0,0.066,1,6.75,152.7323,42.9921,,,
0,0.001,0,2.75,236.63,9.56,,,
0,0,0,2.375,233.41,10.66,,,
0,0.045,1,6.75,141.837,41.7976,,,
0,0.069,1,5.375,180.7775,66.9036,,,
0,0.001,0,3,270.66,33.92,,,
0,0.003,1,6,146.7288,31.7292,,,
0,0.006,0,3.25,323.66,57.13,,,
0,0.041,0,3.25,239.9383,8.1133,,,
0,0.183,0,3.875,274.0933,27.3211,,,
0,0.039,1,6.625,144.5455,38.006,,,
0,0.001,1,5.75,157.4008,30.5199,,,
0,0.025,1,5.875,161.0767,53.684,,,
0,0.011,1,6.375,151.8728,37.5232,,,
0,0.116,1,6.75,144.5335,34.5245,,,
0,0.736,1,7.375,139.6697,34.5206,,,
0,0.037,0,2.375,154.39,6.29,,,
0,0.047,0,3.75,302.78,38.386,,,
0,0.076,1,5.125,184.3898,83.427,,,
0,0.001,1,5.625,144.2393,38.387,,,
0,0.011,0,3.75,305.65,66.5927,,,
0,0.15,1,6.5,157.3953,53.0305,,,
0,0.03,1,6.625,147.147,40.067,,,
0,0.014,0,3.5,339.2,39.85,,,
0,0.016,1,6.5,150.014,40.5669,,,
0,0.099,1,6.75,139.3645,35.5685,,,
0,0.003,0,2.75,197.235,7.645,,,
0,0.21,1,6.625,135.9823,23.3367,,,
0,0.018,1,5.625,167.974,54.4239,,,
0,0.004,1,6.125,145.9288,41.0259,,,
0,0.199,1,7,132.3353,39.1743,,,
0,0,0,2.375,254.755,8.905,,,
0,0.033,1,6.25,151.4198,49.7453,,,
0,0,0,2.625,268.18,5.95,,,
0,0,0,2.5,231.665,4.555,,,
0,0.01,1,6.375,147.4848,41.9666,,,
0,0.089,1,6.75,154.6437,44.3679,,,
0,0.323,0,3.5,244.745,33.905,,,
0,0.084,1,6.875,150.059,40.6578,,,
0,0.032,0,4.25,259.09,58.2605,,,
0,0.023,1,6,155.8695,53.0954,,,
0,0.138,1,7,149.8728,40.3976,,,
0,0.026,1,6.375,147.187,46.5027,,,
0,0,0,3,284.22,34.73,,,
