Rate (Hz),ISI mean (ms),ISI std  (ms),PD,STIMU
6.25,138.0127,32.5507,0,1
6.375,149.5565,33.1751,0,1
5.875,134.9672,34.6001,0,1
6.375,139.2745,32.6818,0,1
7.75,135.0892,38.081,0,1
6,137.8117,36.6733,0,1
6,138.8417,27.1585,0,1
6.25,136.43,34.2023,0,1
7,153.707,54.3001,0,1
6.375,135.6982,31.9049,0,1
5.625,150.497,43.2099,0,1
6.625,146.463,37.686,0,1
6.375,144.6053,39.1883,0,1
6.375,152.0693,36.9503,0,1
5.875,142.2475,39.2368,0,1
6.875,148.9408,40.0859,0,1
6.875,132.0047,36.4442,0,1
6.625,127.8437,30.0853,0,1
7.125,129.325,33.0959,0,1
6.25,151.8453,41.3438,0,1
5.625,186.975,64.4117,0,1
6.75,147.6112,42.4052,0,1
6.625,148.849,45.6689,0,1
6.625,137.153,38.8642,0,1
6.875,149.7102,37.6279,0,1
5.625,167.6973,67.3748,0,1
6.25,155.2328,49.1787,0,1
6.375,142.5382,30.951,0,1
6.625,140.8515,31.6416,0,1
6.25,140.2702,32.292,0,1
7,131.3827,32.2984,0,1
6.75,145.3807,50.875,0,1
6.125,138.7175,31.9748,0,1
6.375,139.6992,39.674,0,1
6.375,172.816,49.5338,0,1
6.375,142.2425,35.2223,0,1
6,145.0205,46.284,0,1
6.875,145.6942,35.8576,0,1
5.875,147.335,42.1348,0,1
6.875,142.0868,39.9717,0,1
6,160.412,51.1134,0,1
6.375,135.2708,37.0333,0,1
5,168.4517,54.9411,0,1
6.25,143.0072,31.3698,0,1
6.375,143.1158,26.8976,0,1
6.375,138.2683,27.5267,0,1
6,150.0845,47.6701,0,1
6.75,145.137,41.7426,0,1
6.625,153.318,47.9506,0,1
5.875,163.388,46.9012,0,1
5.625,134.9572,31.0572,0,1
6.875,147.4513,40.0601,0,1
6.5,142.2697,27.9142,0,1
6,147.7912,46.541,0,1
5.75,137.9223,30.2768,0,1
6.5,141.5068,40.1514,0,1
6.875,152.214,43.2134,0,1
6.625,158.2657,57.2144,0,1
6.25,160.713,51.4057,0,1
6.25,168.6557,85.0004,0,1
6.375,148.9153,45.1962,0,1
6.25,139.6215,35.6513,0,1
5.625,212.183,123.8505,0,1
6.625,146.1585,43.7283,0,1
6.75,162.784,54.3011,0,1
6.875,155.1073,45.0727,0,1
5.625,149.3288,42.5296,0,1
6.625,128.7268,38.5583,0,1
5.5,157.9675,44.3907,0,1
6,139.4455,36.0353,0,1
5.375,143.8785,30.4872,0,1
7,138.8817,33.2367,0,1
5.875,141.7,34.3535,0,1
7.5,140.7875,29.1819,0,1
6.75,154.2223,49.1797,0,1
5.75,160.7723,55.024,0,1
5.625,152.9722,53.4708,0,1
5.5,153.2173,24.2976,0,1
5.75,156.5738,48.7766,0,1
6.625,152.0265,56.4853,0,1
6.5,150.3923,41.8326,0,1
5.375,145.9757,35.3688,0,1
6.75,149.936,43.8312,0,1
6.75,134.672,30.5378,0,1
6.5,136.3585,32.8622,0,1
6.625,135.2718,41.2421,0,1
6.25,144.2527,41.4061,0,1
7.125,135.6878,31.9227,0,1
5.25,152.245,43.6517,0,1
6.375,143.7073,37.7203,0,1
6.25,145.35,30.2782,0,1
6.5,138.5925,36.5479,0,1
5.875,144.9482,33.6843,0,1
6.75,136.2672,30.4382,0,1
6,139.3908,38.6269,0,1
6,126.0943,28.0988,0,1
6.125,150.4052,53.3244,0,1
6.625,163.3487,43.6062,0,1
6.75,154.6048,42.9538,0,1
6.375,156.5648,42.7967,0,1
5.875,154.0923,45.6615,0,1
5.75,162.0467,48.3752,0,1
6.75,140.6802,45.6912,0,1
7.25,136.1408,42.742,0,1
7.25,139.2537,37.837,0,1
6.75,130.277,36.0344,0,1
6.625,130.6335,34.9319,0,1
6,153.1698,39.6714,0,1
6.875,139.2555,36.6636,0,1
5.875,161.7578,39.3402,0,1
6,149.4968,25.5124,0,1
6,143.4487,35.7661,0,1
4.875,178.7508,46.3679,0,1
5.5,164.8158,52.4248,0,1
6.625,160.0692,64.2379,0,1
6.625,148.1455,35.1844,0,1
6.75,133.5353,36.1849,0,1
6.875,149.2815,45.1532,0,1
6.875,144.9332,41.6539,0,1
7,150.1098,40.2303,0,1
7,129.4385,34.8375,0,1
7.375,145.8988,43.8316,0,1
6.125,155.21,53.8144,0,1
6.75,135.1712,29.0652,0,1
5.5,138.8425,29.7436,0,1
6.5,137.0527,41.2691,0,1
6.75,154.914,32.5288,0,1
5.375,139.505,32.2705,0,1
6.25,137.2827,35.9522,0,1
7,145.4,32.6152,0,1
6.75,150.1928,52.6187,0,1
6.625,132.9227,31.0374,0,1
6.625,164.427,52.8257,0,1
7.25,146.7607,41.7759,0,1
5.875,140.6248,29.3067,0,1
6.625,139.0897,32.0976,0,1
7.25,141.9707,52.6566,0,1
7.25,145.8368,46.8888,0,1
5.625,148.9143,41.5027,0,1
6.75,141.6835,36.8729,0,1
6.125,142.3075,49.3228,0,1
6.25,146.9563,41.9198,0,1
